"b.b.0.fix_b" "sum_Ztrue.b.0.fix_b" "sum_Zpred.b.0.fix_b" "b.b.1.fix_b" "sum_Ztrue.b.1.fix_b" "sum_Zpred.b.1.fix_b" "b.b.5.fix_b" "sum_Ztrue.b.5.fix_b" "sum_Zpred.b.5.fix_b" "b.b.0.est_b" "sum_Ztrue.b.0.est_b" "sum_Zpred.b.0.est_b" "b.b.1.est_b" "sum_Ztrue.b.1.est_b" "sum_Zpred.b.1.est_b" "b.b.5.est_b" "sum_Ztrue.b.5.est_b" "sum_Zpred.b.5.est_b"
"1" 0 8900 9072.45249896308 0 8900 13313.1113038325 0 8900 29159.0153900958 -0.125723887458095 8900 9875.3185040001 0.884340569550006 8900 9555.28263678906 2.48266549645176 8900 18131.1273941482
"2" 0 11142 7693.21880735061 0 11142 17854.3077469775 0 11142 31803.622352566 -0.170307326589877 11142 8420.25652985888 0.830300243124813 11142 11441.4137345014 1.71788236565551 11142 17046.1514175618
"3" 0 5933 4805.33919162987 0 5933 8013.62164804348 0 5933 15734.9063108085 -0.0940022013255443 5933 5062.6303874733 0.760086352867827 5933 5466.48533768826 3.19112117708567 5933 7886.6120029318
"4" 0 6281 5837.28135142151 0 6281 9343.15577077709 0 6281 18921.3893226955 0.341407042682331 6281 4782.51900449817 0.943159023277404 6281 5587.84999907163 1.94417678896927 6281 9031.21593919414
"5" 0 7366 4199.02933697553 0 7366 7544.4095096674 0 7366 19971.577136348 -0.276488895160628 7366 4571.06973316159 -0.328000536929663 7366 8858.95093906637 2.27085938770582 7366 11809.5983870967
"6" 0 8360 10250.0056650902 0 8360 12577.7185578022 0 8360 21313.8461288911 0.56846136185817 8360 6908.82859600248 1.67224016461813 8360 8193.79733894069 2.37877941440113 8360 7709.13169763884
"7" 0 7082 9072.59276258818 0 7082 9786.25894342002 0 7082 13705.998480116 0.117272740391285 7082 8543.35005288972 1.29922665607141 7082 5948.40888798637 2.14312770031717 7082 7617.277506167
"8" 0 3519 3055.48080547441 0 3519 4684.14868910203 0 3519 8368.95387951636 0.206524663312504 3519 2864.46755497731 0.844258185213765 3519 3819.20323740598 2.75491181061826 3519 3815.68711654421
"9" 0 8874 8213.68856053144 0 8874 11971.4644527004 0 8874 26110.5087344986 -0.349401459117297 8874 9826.19647327209 0.965802813004441 8874 8343.80061267292 2.67853879048803 8874 15416.6850755858
"10" 0 9742 9945.14409891512 0 9742 13568.0501470098 0 9742 22242.8204536651 0.270892625273439 9742 9194.89161932437 0.975614314509654 9742 10580.4016574295 2.9328366786478 9742 13663.0929632961
"11" 0 10671 11583.729814397 0 10671 16103.6842354298 0 10671 35293.2109913298 0.665272890760385 10671 8230.26413833514 1.08784615345705 10671 9904.2201807422 3.10940637982035 10671 20554.5716712282
